Sentence_before,Sentence,Sentence_after,Filename,Year,Match,Phrase Key,Is Death Euphemism? (Yes/No)
Xiii . Slutning .,Nogle dage derefter vandrede Jep Kalff til sine fædre . Han hensov med den fortrøstning at have forsonet sig med gud og menneskene . Niels Kalff modtog sin arv med entaknemlig-heds følelse mod faderen og som et lykkeligt ægtepar velsignede de hans minde .,"Abelles gjeld til gejstligheden betalte Niels , hvorefter de flyttede til hvjby . Pudernes og kalsferncs gamle herresæde var nu i de forenede slægters eje , og atter prangede den flederhammede jomfru i bå-benskjoldet over portalen . Abelle og Niels levede blide og lykkelige dage på Højby . Munken Otto trak sig tilbage til sit kloster og prøvede ej mere ved svig og",1877_LundE_BjoernkjaerOgHoejbyEllerMarskStigsSlaegt.txt,1877,hensov,hensov*,Yes
"ikke lykken . . Det er også vist . Husk , at det er en historie af den rigtige virkelighed , som jeg fortæller","dem . Hvornår det kom , at lykken gik bort , kan","jeg ikke sige . Jeg læste fornylig , at jordklodens uendelig ' afvekslende udseende , de høje bjerge , og de",1875_Topsoee_JasonMedDetGyldneSkind.txt,1875,gik bort,g* bort,No
"Slotsholmen , men vindebroen var og blev ophisset , og på den anden side gik vagterne frem og tilbage , tavse og urokkelige som stenstøtter . Deriniod dannede der sig en stedse vox-ende kreds af borgere , nyhedskræmmere , alunke , kvinder og børn på den anden side slotsgraven . Denne skare blev stående hele formiddagen for at iagttage , hvad der foregik i slotsgården , og for at være de første til af erfare dommens","udfald . Nu og da trængte de bageste således på , af en og anden faldt i vandet , men det forårsagede blot moro med af få vedkommende trukket op , og der var hele dagen kun to , der blev stikkende i mudderet og omkom for deres nyfigenheds skyld",". Medens således adelen samledes til aløder i de gamle , grundmurede gårde på Østergade og i Vimmelskaftet , opfyldt af en nervøs og rådvild uro , medens alle Gardiner vare nedrullede for vinduerne i mutter Sigbrits røde gård , og medens folkef snakkede og gnaskede æbler , foregik følgende i",1898_RygaardHo_Kongesvaerdet.txt,1898,omkom,omkom*,Yes
"Der var forandring i hendes indre . Time efter time kunne hun sidde dorsk og halvsovende og lytte til hjertets uregelmæssige banken — der var noget , som sugede dybt derinde — sugede kraften fra hende selv , fra hendes stolte vilje , noget , der magtstjal hendes tanker og bøjede dem mere og mere om dette ene navn , om dette ene minde .","Hun var så træt , så underlig knuget til mode . Altid ville hun nu helst lukke sine øjne og synke hen i denne vegetative dvale , i hvilken blodet sysler af sig selv lig vandårer i den mørke jord , da alle legemets indre organer føles at virke stilfærdigt","og selvfølgeligt — intet tager fejl af sin funktion , uafhængigt af viljen griber det ind i det store usynlige kresløb og fører væsker og ernæring , hvorhen de skal , efter store stumme love . Og gro sank ned i den bløde sne og",1895_Michaelis_Aebeloe.txt,1895,lukke sine øjne,lukke* sine øjne,No
"Borte var den , redningsløst tabt og sporløst forsvunden . Mor låge græd i samfulde tre dage","over , at hendes gamle , tro tjener skulle omkomme","så ynkeligt , han , som havde tjent hende både længe og trofast , ja hele vinteren igennem kunne hun ikke",1890_FriisJA_Lajla.txt,1890,omkomme,omkom*,Yes
"hun ikke — ville hun ikke leve — og nu — finde sig i — ja , finde sig i at miste ham . Og",miste ham på den måde ! Miste ham ved at,han forandredes — blev en anden — helt forsvandt — — var det ikke bitrere end døden !,1893_Brummer_EnKamp.txt,1893,miste ham,miste* ham,No
"den skal hun få . Mulig kan den dog udrette så meget , at hun skikker sig en tid , så","at du får fred , mens jeg er borte . Jeg lovede","hende en skriftefader til at tage hende i skole , og ham skal hun nu få . «",1895_EwaldHF_LeonoraKristina.txt,1895,får fred,f* fred,No
"er deres skyld , at hendes forældre gik tilgrunds , det er deres skyld , at hendes ulyklelige","moder gik i graven , og det er endelig","deres skyld , at hun nu ligger der på smertens leje . . . . Og alligevel beder de",1873_Soerensen_EnKvindeAfFolket.txt,1873,gik i graven,g* i graven,Yes
"i levemåde og klædedragt og jeg har mange gange lagt mærke til hvorledes han har sundet fornøjelse i af tale med simpelt-klædte folk , frem for med folk , der var skrammet ud med guld- og sølvbroderier . “ „ Jeg har dog mine betænkeligheder , monsieur . “","„ Ja , sagen er den , af i ikke fortjener af blive lykkelig , i vil ikke eders eget vel og i stedet for af i kunne gå i graven som professor og hædres med et stort ligfølge af statens og kongens , bedste mænd , ' må i","nu opleve af se eder begravet som en gemen barber , der kun bliver fulgt til jorden af en bande tyske svende og andet janhagel . “ „ Men det gør dog intet til sagen , om vi opsætter rejsen til i overmorgen . Har jeg nu i så mange år kun været stel og ret stads-chirurgus kan jeg vel også være det en dag endnu ? “",1875_SoerensenC_KjaerlighedVedHoffet.txt,1875,gå i graven,g* i graven,Yes
"jeg har levet her i atten år . Ja , det er forresten sandt , det ved de vel ? Og jeg har","levet for at få fred , for enhver pris fred .",Men det er vanskeligt at holde sit hus rent for påtrængende menneskers fodtrin . De,1898_Levy_BreveFraEnsomheden.txt,1898,få fred,f* fred,No
"anelse om , at du kom til at jubilere . . . Det var dog også alt for fattigt , om en mand ,","som du , skulle gå i graven uden et eneste",jubilæum ! » . . . « du er kanske hemmeligt medlem af,1889_Kaarsberg_Mutterlillen.txt,1889,gå i graven,g* i graven,Yes
"med begærlighed . Snart lød det livligt og fortrøstningsfuldt , snart",atter var det den dybeste vemod der udåndede af tonerne .,"Pludselig sprang hun op , lagde gitaren fra sig og",1876_Karstens_FrederikFolkekjaer.txt,1876,udåndede,udånde*,No
"fange mændene , men havde ikke stort håb , af det ville ske , på grund af vanskeligheden for rytterne",ved af komme frem gennem den høje sne . En for en,"bleve kvinderne førte frem for sysselmanden , der tog dem i sfarpt forhør . Den kjephøje gauthild",1888_Gioerup_SortePloug.txt,1888,komme frem,kom* frem,No
"til : » Hver aften , når han er gået i seng , taler han med Vorherre derom , indtil han",sover ind ved det . «,"Ved disse ord rømmede den gamle sig i lænestolen , som havde han hørt , hvad der blev",1888_Gundesen_Tjoernekrat.txt,1888,sover ind,sov* ind,No
"“ Idet de kom forbi den sidste leirpost , så bakke Daniel stå og tale med vagtmester Erikson ; han slog ud med armene og pegede op mod kongens hytte , der endnu lyste oppe i fjeldet . Klokkeren fremskyndede uvilkårlig sine skridt og drog Halvor efter sig .","„ Vi have endnu en gerning at forrette , inden vi forlade svenskerne , “ sagde Ole bakke og gik bort fra hovedvejen ind i skovtykningen . De nærmede sig ad omveje atter lejrens yderkreds , hvor vognparken og hestene fandtes , bevogtet af enkelte skildvagter . Klokkeren gjorde et","tegn til Halvor , krøb forsigtig fra træernes slagskygge om bag den bageste vogn og sneg sig ind mod vognparkens midte , hvor rustvogne stod ladede med korn , hø og proviant . Halvor fulgte morbroderen som en skygge uden at spørge , først da han så Svendsen bakke krybe ind mellem hjulene på den største vogn , sagte slå ild af sit fyrstål og holde den brændende lunte op i høet , begreb han hensigten , i næste nu gjorde han ligeså og stak",1898_Brosboell_Bjoerneaet.txt,1898,gik bort,g* bort,No
Spurgte Anne-marie . » Ingen ved det ! « svarede Arild alvorlig .,"» Det kan hænde , vi får fred ; men det kan",også blive til endnu blodigere fejde end forhen . Ingen ved det . Dog så megen ro bliver der,1894_OestergaardV_DanmarksVovehals.txt,1894,får fred,f* fred,No
". . . å , at den mand levede ! Men nu kørte han jo bort , langt bort , blev længe borte . . . kunne",måske komme af dage ved en jærnbaneulykke . . .,"Ved en øjeblikkelig død ! Gerhard ønskede ham intet ondt , ingen lidelser . . . ingen burde lide !",1890_Drachmann_Forskrevet_1.txt,1890,komme af dage,kom* af dage,Yes
gode råd ! den unge mand syntes at have hørt nok ;,han betalte værten og gik bort .,"Men han kunne ikke undlade at tænke på , ' hvad han imod sin villie var bleven vidne til .",1876_Albertius_KlokkenIRosendalen_2.txt,1876,gik bort,g* bort,No
"alligevel ikke gav slip på det bytte , den i hende havde udset sig . Allerede den næste dags aften , efter at","Moses og jsach vare flyttede ind i huset , hensov hun","blidt og rolig , i tillid til den gud , der i hele hendes liv havde været hendes bedste støtte .",1876_LB_Taterkongen.txt,1876,hensov,hensov*,Yes
"le . Han var seks og tyve år gammel , men endnuuerfaren og følsom lig en ung pige .",Da han kom hjem på sit tarvelige værelse i,"Løvstræde , kastede han sig på sengen , bed i hovedpuden og våndede sig . Jo , nu , når han var ene ,",1894_Schoeyen_GrevBrahesHus.txt,1894,kom hjem,kom* hjem,No
"hine pragtfulde tropiske planter , der kun blomstre én nat ; — men ligesom de så også til gengæld",udånde en hel sommers Duft i de få,"timer , således kan også en eneste nat tit rumme et helt livs lykke .",1885_MoellerO_ReformatorenFraGalilaea.txt,1885,udånde,udånde*,No
"Han gik frem og tilbage i det underjordiske rum . Folkemængdens skrig og trusler lød endnu i hans øren , som de havde lydt undervejs og udenfor huset , længe efter at borgerne havde ført ham frem for skolemesteren . Han så endnu Klaus skades lurende , ondskabsfulde blik og hørte deu klynkende stemme , hvormed hans kammerat havde aflagt sit falsks vidnesbyrd . Nu vidste Niels Ribe , at det ikke var nogen drøm , men at man beskyldte ham for at være en æreløs tyv og havde fremlagt tilsyneladende gyldige beviser for hans misgerning . Han ville først","blive hudstrøgen af skolens bødler ; dernæst ville man føre ham for stadens foged , og næste tingdag ville han komme til at ende sit liv i strikken . Og hvad der var værre end dette — de få venner , han havde : hans fattige moder , den gode","mester hans Bundtmager og Ambrosius bogbinders datter — ja , også hun — ville holde ham for skyldig . Han gik hurtigere og hurtigere frem og tilbage . Den hæslige , indelukkede stank i det lufffattige rum pressede hans bryst sammen , så han næppe kunne drage ånde . Men han blev ved at gå , med stadig fare for at støde sit hoved mod murene i den åbne",1893_OestergaardV_NielsRibesAeventyr.txt,1893,ende sit liv,end* sit liv,No
"en hind havde hun trukket sig tilbage , ikke fra ham , hvem hun altid havde stået fjern , men fra",alt levende : hun var falden ned fra alle sine himle !,"Den martrede lagde hånden på sin pande for at fatte dette . Den var hed og fugtig . Ja ,",1880_Colban_Cleopatra.txt,1880,himle,himl*,No
gøre end at sige det værste . Så knyttede hun hænderne for at gøre sig stærk og,"lukkede sine øjne i , mens hun talte .","» Du skal vide det , som det er , Cordt . Det er sandt alt sammen , sådan som du",1895_EwaldC_DenGamleStue.txt,1895,lukkede sine øjne,lukke* sine øjne,No
"ind til sideværelset , hvor Annette lå og sov i en stor seng . .","Hun sov , havde slået tæppet til side for heden","i værelset , var rød og varm , den ene blottede arm bag om nakken , den anden over sengekanten med",1890_Drachmann_Forskrevet_2.txt,1890,for heden,f* heden,No
"Edmée rejste sig hurtigt . Laurette , du må undskylde mig ; men jeg er virkelig så træt i aften . . . Å , passiar ! Laurette trak hende ned i stolen igen . Om jeg var træt — hun kastede et blik på sin figur — det lod sig høre — men en ung pige som du ! Og nu sidder vi jo så hyggeligt — klokken er ikke mere end","lidt over tolv . Lad os nu vente , til Junot kommer hjem , som vi lovede , så kan han måske fortælle os noget nyt .","— hvilket nyt ? Du er da skrækkelig nysgerrig , sagde Edmée med et forsøg på at være spøgefuld . — om Pauline mener jeg —- hun er jo øjeblikkets samtaleæmne ! Men du interesserer dig ikke rigtigt for første-konsulen sådan som vi andre , det har jeg altid sagt , tilføjede hun en smule maliciøst .",1895_Malling_EnRomanomFoersteKonsulen.txt,1895,kommer hjem,kom* hjem,No
"halstørklædsnippen på slæng ned om skjortebrystet og endnu ikke barberet , fordi folk ikke","har ladet ham få fred , fra han stod op","imorges . . . Eller kom og sé ham sidde sådan lun om læberne og med øjnene , som altid så",1887_LieJ_EtSamliv.txt,1887,få fred,f* fred,No
"Harbo . Jo flere kokker , jo værre søl . Så trækker de i benene mine og trykker mig på maven , så","jeg er nærved at omkomme af pine , og så er de","lige kloge og lar mig ligge der som før . » « nej , når du ikke har tillid til dem , så — »",1890_SkramA_SGMyreHellemyrsfolket.txt,1890,omkomme,omkom*,No
"den tør sige sig selv , at aldrig er noget for sent .",Hun lukker sine øjne — der er en helligfestlig,"stilhed i stuen , den syvende dags hvilende glæde har sneget sig ind over et hjerte ,",1892_Prydz_Arnak.txt,1892,lukker sine øjne,lukke* sine øjne,No
"De to gamle fra ^skovridergården trak sig mere og mere bort fra præstens . Lund kunne jo ikke mere få sine hyggelige l’hombre-aftener . Og da han mærkede , at det nu ikke længere var tilstrækkeligt at være af hr . Pastorens mening , så følte han sig ilde tilpas i præstegården . Desto ivrigere drev han jagten . Desværre skulle denne dog snart blive ham skæbnesvanger . En dag , da han strejfede om i skoven med et større jagtselskab , blev han ramt af et vådeskud og måtte bæres døende hjem . Pastor fanget kom straks derover .","Og det var , som det stille dragende vidnesbyrd fra præstegården dog ikke havde været helt uden frugt . Hans hjerte syntes at åbne sig for nåden , før han lukkede sine øjne .","Da han var død , følte Fru lund , at hun ikke havde synderlig mere at interessere sig for i gråvad . Derfor besluttede hun , så snart hun kunne , at flytte til København , hvor hun havde flere slægtninge .",1897_MadsenN_Solopgang.txt,1897,lukkede sine øjne,lukke* sine øjne,Yes
"ligge uden videre omstændigheder — ved dét , at han ikke var andet end som menig",mand . Så var den gamle vel gået i graven,af bedrøvelse . Men ellers ville det vist være blevet knebent med tårer over ham ; —,1889_Kaarsberg_Mutterlillen.txt,1889,gået i graven,g* i graven,Yes
„ Helga — min hustru . — endelig kommer du ! “ „ Sigurd ! “ — hun klamrede sig til ham i lidenskabelig,"angst , som om hun endnu kunne miste ham .","„ Ja , nu forstår vi hinanden , ikke sandt ? Begge har vi fejlet , begge har vi at tilgive og glemme .",1877_Paulsen_Dorothea.txt,1877,miste ham,miste* ham,No
"man mig skriftlig tilståelse at jeg havde ranet juveler , » e . Jeg fik aldrig svar på mine breve ; mit eneste","ønske var , at jeg og barnet måtte udånde i den sig",nærmende dyst . Men straffen før mine vildfarelser skulle vare,1871_MeyerE_Pariserhelvedet.txt,1871,udånde,udånde*,Yes
"der at gøre ? At tænke på at skaffe et lån på en snes tusende kroner var det rene vanvid . Den eneste trøst , han havde , var , at den brede trussel , han i sin ophidselse havde slynget Ole konge i synet , syntes at havde jaget en vis uro i livet på hele konge-flokken . Men det var en tynd trøst .","Da fik han at vide , at en Broder til Møller , en ugift grosserer i hovedstaden , var afgået ved døden og havde efterladt sig en del penge . Hvem vidste , om der ikke her var skimt af noget !","Men alle hans skilsmisseplaner var , når alt kom til alt , kun bevægelser på hans jegs overflade ; han følte godt , når han gik til bunds i sit indre , at selv om han stod med ti tusinde kroner i hver hånd og Amalies ja i sit øre , så ville han dog vakle ; thi",1898_NielsenZ_DenStoreMagt.txt,1898,afgået ved døden,afg* ved døden,Yes
"Western med højtidelig stemme . „ Bort fra mine øjne , giftmorder ! “ råbtc","ols , „ gå bort og forpest ikke luften her med","din forbryderiske nærværelse ; gå , gå , du bringer fordærvelse ; du lugter efter lig , gå bort ,",1879_C_ErikOgUlrikkaEllerRingerenFraStokholm_2.txt,1879,gå bort,g* bort,No
"» Å , jeg vil ud ad carabacel til for at trække vejret , « svarede agacsis undvigende . Det forekom","ham et øjeblik , som om solen var gået bort og","hele karnevalsfortryllelsen brudt . » Ja vist , nu tager vi straks til carabacel , « lo",1894_HansenJ_EtKarnevalINizza.txt,1894,gået bort,g* bort,No
"tar ikke imod nogen indbydelse nu , men går fortvarende med flor om hatten i anledning af denne","din dejlige kusine , som himlede ved sankthans . De","siger , han holder på at blive vakt , så det må vel ha slåt sig på den smule hjærne hos ham . Ja",1892_Valseth_TidligHoest.txt,1892,himlede,himl*,Yes
"Hun læste den og læste den atter . Skulle hendes søster være død , skulle hun","selv have endt sit liv , af sorg over Fridas hårdhed",imod hende ? — hun har selv valgt sin skæbne og må,1874_Albertius_BjergmandensRing_1.txt,1874,endt sit liv,end* sit liv,Yes
"og hun havde endnu styrke dertil . Hele dagen vandrede hun omkring , men det gik nu kun langsomt . Da mørket indfandt sig , tænkte hun et øjeblik på , om det ikke var bedst at vende tilbage til Hostrups familie . Men hun forkastede denne tanke lige så hurtig som den var opstået . Thi hvad måtte de vel tænke om hende ?","Nej , hjem kunne hun på ingen måde gå , det ville være alt for ydmygende . Hun havde nu en gang sat sig for at ville finde sin mand eller omkomme under forsøget derpå , og hun ville ikke give tabt .","Hvem kunne vide , om ikke gud ville gøre et mirakel for hendes skyld . Hendes tro på forsynet var urokkelig . Langsomt vandrede hun tilbage til skoven . Ganske vist kneb det hårdt for hende at nå derud , men det lykkedes dog .",1899_Worm_ForbrydelsernesKongeEllerDenSkalperedePraest.txt,1899,omkomme,omkom*,No
"vil lykkes eder , ridder Brahe , at opdage denne skyldige ; „ det er jo kim få misgerninger ,",som gå i graven med ugjerningsmændene . . .,"Jeg billiger eders hustrues skræk over det forfaldne , og vil",1875_SoerensenC_SkjaebnensVeie.txt,1875,gå i graven,g* i graven,Yes
"ud derefter . Nej ; gud ske lov , det er kun moderen , og det var","da ingen skade til , om hun himlede .","Nej gid hun måtte ; for kommer hun i helvede , bliver hun s’gu grinet ud af djævlene , svarede Max og",1878_Gjellerup_EnIdealist.txt,1878,himlede,himl*,Yes
ned i en spand vand . Den havde krablet indeni hans hule hånd som et lille dødsuroligt hjerte — som Bettys,"fingre , lige når hun sov ind . — han huskede et stykke","kalvekød , som hverken han eller Betty havde villet spise , fordi det var det sidste på talerkenen . Betty var mere",1898_JensenJV_EinarElkaer.txt,1898,sov ind,sov* ind,No
"Kitty så sig om med et blik fuldt af angst og gru , foldede sine hænder , så op mod himlen , men blev",i det samme revet bort af en skummende sø .,"De langstrakte bølger slyngede deres lette bytte ned i den mørke afgrund , hvor livets tråd må briste .",1883_Holm_KittyEllerKirkeklokkenIFarum.txt,1883,revet bort,revet bort,No
"„ Å gud i himlen , Gustav — dyrebare Broder ! Således ser jeg dig igen , død ,","faldet for morderhånd , revet bort fra","dit land , dit folk og din gerning midt i din manddoms kraft og styrke . Alt hvad",1898_Henckel_Lolotte.txt,1898,revet bort,revet bort,Yes
"barnet , der nær havde kostet hende livet , og han så sig selv , at det ville vært bedre , om hun da","havde fået gå bort . Disse mange lange år , hun","havde ligget der , hjælpeløs og ubevægelig . Og så kom det atter over ham , dette dumpe , fortvilede",1890_SkramA_SGMyreHellemyrsfolket.txt,1890,gå bort,g* bort,Yes
"sikret sig en Dans i tide ? — — — hvor hun dog elskede Ivar trods det , at skinnet var imod","ham , og hun kunne alligevel ikke miste ham .---","o o der var én , som tog i døren , den åbnedes ,",1891_Meldgaard_BrydningerEllerIvarOgSigrid.txt,1891,miste ham,miste* ham,No
"kaste sine øjne på datteren . Skønt rig og af højt anset adel , var kammerherre banner jævn og ligefrem i hele sit væsen . Men holdt han ikke tilstrækkelig på den adelige værdighed , så gjorde hans hustru det så meget desto mere , og det blev i årenes løb hende , der styrede og","ledede alt på Bannersborg . Da kammerherren lukkede sine øjne , forandredes derfor intet ved hele godsets drift . Ved hjælp af den dygtige , men efter kammerherreindens mening noget for eftergivende godsinspektør Selmer , forstod hun at styre alt med stramme tøjler .","Erik banner lignede mest faderen . Efter at være bleven student fortsatte han studeringerne , navnlig i historie og kunst ; dette var ikke efter moderens ønske , idet hun fandt det mindre passende for en adelsmand . Trods flere sammenstød med moderen fordybede han sig dog med interesse i disse fag og foretog gentagne gange rejser til udlandet , navnlig til Florents og rom , hvorfra han kom hjem , fuld af begejstring over alle de skønne og herlige kunstskatte , han der havde set .",1899_Hagerup_DenGamleKaempehoej.txt,1899,lukkede sine øjne,lukke* sine øjne,Yes
"for , at du lever længst ; og det kan jo også være , det ikke varer så længe ,","før jeg kradser af ; nå , så er der heller",ingen ulykke sket ved det . « » Men hvorfor henter vi ikke lægen ? «,1898_AndersenT_Askepot.txt,1898,kradser af,krads* af,Yes
mest overhængende fare . Hr . L . var imidlertid en gammel mand og,"afgik ved døden , førend hans fjenders hævn","kunne nå ham ; men han efterlod sig en søn . George l . var en af de elskværdigste , livligste",1881_CS_NogleDageAfEnPolitimandsLiv.txt,1881,afgik ved døden,afg* ved døden,Yes
"den ondskabsfulde knægt , at du overgår ham i behændighed og mod . Dersom du ikke halvt om halvt","tager livet af ham , vil du aldrig få fred . «","og nu udviklede hylas , hvorledes Philolaos havde at forholde sig under et rimeligt sammenstød med ham .",1895_Mariager_Sparta.txt,1895,få fred,f* fred,Yes
"— tvertimod . Deres forhold var meget venskabeligt . Vimmer var jo flere gange kommet i dette gjæstevenlige hus . — nå , det var kun en tanke , som opstod hos","mig . Jeg ligger jo stadig på jagt efter at få opklarel den gådefulde måde , hvorpå han er kommet af dage ; men det er endnu ikke lykkedes mig .","— såvidt jeg hørte modtog chefen ligeledes underretning fra gouvernøren . — ja , han meddelte mig , at en gammel neger ved navn Vallis netop var forsvundet fra øen samtidig og at det muligvis kunne tænkes at det var ham , som havde dræbt løitenanten .",1888_Ridderhjelm_FrelstEllerFiskerensDatter.txt,1888,kommet af dage,kom* af dage,Yes
"kort sagt hele byens gode selskab . Tæppet for den lille scene hævede sig , og",postmesteren kom frem for at deklamere « Murad » .,Han havde i den sidste snes år med eller uden opfordring fremsagt dette digt ved alle de offentlige,1898_Gnudtzmann_Gadespejlet.txt,1898,kom frem,kom* frem,No
"hun tænkte , at han havde en eller anden stor sorg ; hun sørgede stille med ham og bad hver","aften for ham , når hun sov ind , men til ham",selv talte hun ikke mere derom . imidlertid gik sladderen i byen ivrigere end,1877_Rosing_LoevfaldOgLoevspring.txt,1877,sov ind,sov* ind,No
"dette øjeblik var Paola alvorlig , og hendes sine kinder vare blevne blege .","„ Hvad bryder jeg mig om at få fred , “","Sagde han , „ Drengene rejse jo fra mig . “ „ Nej , de rejse ikke . “",1888_Brosboell_Vendetta.txt,1888,få fred,f* fred,No
"et godt stykke frem , da det sorgens budskab udgik fra Gottorp >over landet , at kong Frederik",havde lukket sine øjne og var gået til sine fædre .,"Nu var riget herreløst , og rigets råd samledes i juni måned i København for at vælge en ny",1892_EwaldHF_ClaraBille.txt,1892,gået til sine fædre,g* til sine fædre,Yes
pludselig slåede ham ud af hånden ved dette energiske og flotte venlighedsudfald fra kaptejnens,side . Og alt krigshumør var som revet bort,fra den gamle mand i samme øjeblik . Det lød inden i ham :,1885_SchandorphS_DetGamleApothek.txt,1885,revet bort,revet bort,No
"Han viloe måske blive dømt til forvisning , aldrig mere få sin hustru og sit barn at se , og",ende sit liv som slave i de deporteredes rækker .,"Forsilde angrede han , at han ikke havde opgivet den tåbelige rejse , og dog tænkte han ikke i dette",1876_Albertius_KlokkenIRosendalen_2.txt,1876,ende sit liv,end* sit liv,Yes
"fremmede mennesker , fremmede værelser , tje- nester af lejede hænder i de smertelige øie-","blikke , hvor man skal tage afsked med livet ,","hvor man har brug for dobbelt kærlighed , dobbelt omhu , hvor man kun vil have kære",1881_Paulsen_NorskProvinsliv.txt,1881,afsked med livet,afsked med livet,Yes
"det kan pist ikke falde en gås , som hende ind . — men hvorfor betænker du dig , Nina ? ytrede",Julie ; kom frem med hvad du har al sige .,"— javel , javel , sagde denne og ser op , — du kan tænke dig , jeg har set hende . . .",1870_AT_DenVanvittigesBoernEllerSkurkenPaaNoerrebro.txt,1870,kom frem,kom* frem,No
mistænkt hende for at tilbageholde disse breve . „ Hvad monstro den pjalt i grunden ville ? “ råbte,hun . „ Det var hans lykke at han kradsede af for ellers,skulle han i det mindste have sagt sin mening rent ud . Ad hækkenfelt til med alle disse bogstaveradresser — fra,1870_Anonym_TestamentforfalskningenEllerBetlerskenFraChristianshavn_1.txt,1870,kradsede af,krads* af,Yes
"tænke på dig som en god , kær ven , du , som allerede har gjort mig så rig og lykkelig , at mange",mennesker efter et langt liv gå i graven uden at,"have nydt slige store øjeblikke , som du har skænket mig . Men derfor skal du også takkes og velsignes",1876_Paulsen_Sjoedronningen.txt,1876,gå i graven,g* i graven,Yes
"varsomt det bankende hjerte , gav det trætte øje hvile og befriede den ædle sjæl fra sit skrøbelige hylster og","førte den hjem til gud . Det salige smil , som engelen","til afsked trykkede på de stivnede træk , var et vidnesbyrd om den fred og himmelske glæde , der havde",1894_Bjoernsen_EnKvinde.txt,1894,hjem til gud,hjem til gud,Yes
"hjæm til sig om bare i et øjekast . Åja , det kom så vidt ; men du himmelske gud , — hun skulle",da væl ikke miste ham ? I denne lidelse kænte,"hun sin brors igæn , kænte sig hværgang sammen med ham . Guttens skæbne blev knyttet til",1889_Bjoernson_PaaGudsVeje.txt,1889,miste ham,miste* ham,Yes
"mindedes hun , at Restrup havde sagt , kort før han tog sig af dage . Var det muligt , tænkte han på",at ende sit liv ? Hvad havde han dog ikke lidt !,Han havde måske heller ikke haft et glad øjeblik hele sit liv . Han sagde det jo — var det,1884_Ravnkilde_JudithFurste.txt,1884,ende sit liv,end* sit liv,Yes
"mere død end levende . Jeg blev bragt op på et værelse i „ Solen “ , og der lå jeg tilkøis og havde","feber i hjernen og skulle vistnok være kradset af ,",om Dorthea ikke havde plejet mig så godt og våget over mig og gjort sig al tænkelig umage,1876_Drachmann_EnOverkomplet.txt,1876,kradset af,krads* af,Yes
i hånden og så hen for sig . Endelig rettede hun sig og trak vejret dybt,"et par gange , som hun ville udånde alle","levninger af gammel skovduft og fylde brystet med god , sund holmstrup-luft . Alen på en",1889_NielsenZ_Maagen.txt,1889,udånde,udånde*,No
"nu dog så sørgmodige ansigter , da vaktes en anden tanke hos hende , da mindedes hun , at de var revet","bort fra deres fædreland , revet bort fra deres","kæreste , deres forlovede , deres hustruer og børn og medlidenhed bevægede sig da i hendes for omskiftende",1874_Albertius_BjergmandensRing_2.txt,1874,revet bort,revet bort,No
"„ Jeg vil ikke plage dig , jeg vil ikke smålig hænge over dig , så du bliver træt og ked af mig , det tror du . Du tror , du","aldrig får fred . Kan du ikke forstå , at man må have noget ud","over forelskelsen , et fast grundlag , interesser tilfælles , så man finder glæde i at tale sammen ? Men det er svært , svend , når",1899_Hancke_RuthErlandsen.txt,1899,får fred,f* fred,No
"gåde ind og ud af min dør , det står ikke i « min bog » og må heller ikke stå der ;","men en , dei' nu er gået hjem til gud , som","kom med gråd og gik bort med frydesang , glemmer jeg aldrig ; denne ene var « spilleren » ,",1883_MoellerEH_Ellen.txt,1883,hjem til gud,hjem til gud,Yes
"mesters ledelse . I førstningen var pigerne lidt tvære og havde ondt ved at glemme den måde , de",var blive » kradsede af fjerene på ; men fejlen var,"jo deres , derfor skammede de sig og lod som ingen ting , og Grete var klog nok til at tie , så længe de",1885_NielsenJ_FoerOgNu.txt,1885,kradsede af,krads* af,No
"Fritz Reinfeldt hvilede nu allerede i ti år i kapellet i Skovby kirke , og Niels Gjørding havde",lukket sine øjne et år efter ham .,"» Hvad mon de to gamle ville sige , « udbrød Reinfeldt smilende , » om de kunne stå op af deres",1881_EwaldHF_GeorgReinfeldt.txt,1881,lukket sine øjne,lukke* sine øjne,Yes
"Han forsvandt i lukafet , og Charles steg langsom og stille opad trapperne .","Alt var som hensovet , man kunne høre regnen","klaske på gaden . — beboerne vare uden tvivl gåde til ro , hver og en . —",1877_MoellerL_JeanetteMironEllerFjortenMillioner.txt,1877,hensovet,hensov*,No
"det var på fransk . Fruen , som var ubehagelig stemt over tandes forfængelige skyhed , talte til barnet i","dets modersmål . Gutten kom frem , men bare for","i afstand at se fornemt på hende . Dette morede hende , og hun tog sin pung og gav ham en større",1877_Bjoernson_Magnhild.txt,1877,kom frem,kom* frem,No
"datter af nabopræsten , med hvem han i tugt og ære avlede fire døtre , og da hun efter","et par tvillingers fødsel salig hensov i Herren ,","sad hendes ægtemand et år og sørgede , inden han tog til ægte en by skrivers otte og trediveårige",1899_Schandorph_GamleBilleder.txt,1899,hensov,hensov*,Yes
"asfebrud og aldrig kirkeprud ? Betænk dertil , hvad i fortiden er sfeet , og hvorlunde min frænde Margrethe","gik i graven formedelst Knuds frændes , Eriks , troløshed ,","han som nu fjæler sig i kloster og hedder Broder Simeon . Han rådede til , dengang Knud betlede",1875_EwaldHF_KnudGyldenstjerne_1.txt,1875,gik i graven,g* i graven,Yes
